order_id,customer_id,product_id,quantity,price,order_date
3001,104,207,3,112.45,2025-04-02
3002,111,201,2,71.89,2025-04-05
3003,116,215,1,89.34,2025-03-25
3004,102,209,4,265.78,2025-04-10
3005,119,203,2,198.23,2025-03-28
3006,105,212,5,47.56,2025-04-08
3007,113,206,1,31.67,2025-04-01
3008,108,210,3,234.12,2025-03-22
3009,120,204,2,189.45,2025-04-12
3010,101,208,4,76.89,2025-03-30
3011,114,211,1,205.34,2025-04-06
3012,107,213,3,287.67,2025-04-14
3013,110,202,2,38.12,2025-03-26
3014,118,205,5,49.78,2025-04-03
3015,103,214,1,134.56,2025-04-11
3016,109,207,4,125.23,2025-03-29
3017,115,209,2,301.89,2025-04-09
3018,106,212,3,72.45,2025-04-07
3019,112,206,1,42.67,2025-04-04
3020,117,210,2,178.34,2025-04-13
